UNIDADE;CIDADE;UF;Mês/Ano;Qtde Cereais (kg);Valor Cereais (R$);Qtde Hortigranjeiros (kg);Valor Hortigranjeiros (R$);Qtde Produtos Diversos (kg);Valor Produtos Diversos (R$);Soma (kg);Soma (R$)
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2008;0;0,00;255.627.675;289.702.745,02;3.589.050;21.124.085,45;259.216.725;310.826.830,47
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2009;0;0,00;257.174.777;327.914.370,44;2.629.458;12.529.654,18;259.804.235;340.444.024,62
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2008;0;0,00;241.658.316;296.167.404,62;3.494.643;14.765.510,43;245.152.959;310.932.915,05
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2008;0;0,00;263.953.686;313.134.051,83;3.576.185;14.142.573,64;267.529.871;327.276.625,47
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2008;0;0,00;259.440.888;308.949.854,26;3.524.078;13.019.720,72;262.964.966;321.969.574,98
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2009;0;0,00;251.557.356;353.417.186,67;3.501.122;13.518.343,75;255.058.478;366.935.530,42
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2008;0;0,00;244.001.697;281.526.599,81;3.612.812;14.171.246,34;247.614.509;295.697.846,15
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2009;0;0,00;252.800.014;310.631.264,37;2.967.110;12.136.390,34;255.767.124;322.767.654,71
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2008;0;0,00;244.709.345;303.909.670,49;4.390.418;18.726.868,49;249.099.763;322.636.538,98
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2009;0;0,00;246.246.030;307.030.383,41;3.376.747;15.951.257,79;249.622.777;322.981.641,20
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2008;0;0,00;239.756.789;287.538.259,68;3.429.086;12.958.726,10;243.185.875;300.496.985,78
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2009;0;0,00;255.980.732;316.202.002,88;3.786.230;17.945.623,24;259.766.962;334.147.626,12
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2008;0;0,00;252.339.052;318.822.576,22;4.095.510;15.595.566,83;256.434.562;334.418.143,05
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2009;0;0,00;259.634.982;333.462.412,69;4.649.306;25.051.666,17;264.284.288;358.514.078,86
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2008;0;0,00;255.534.125;310.454.190,92;4.444.834;16.471.075,36;259.978.959;326.925.266,28
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2009;0;0,00;271.196.408;375.911.306,23;5.076.798;34.657.844,00;276.273.206;410.569.150,23
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2008;0;0,00;264.310.267;302.389.065,96;5.681.419;31.379.066,16;269.991.686;333.768.132,12
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2009;0;0,00;244.005.579;304.957.799,03;2.874.259;13.737.989,62;246.879.838;318.695.788,65
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2008;0;0,00;260.481.127;272.105.221,03;4.434.346;28.657.074,36;264.915.473;300.762.295,39
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2008;0;0,00;284.313.419;377.307.546,17;3.366.384;20.321.985,77;287.679.803;397.629.531,94
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2010;0;0,00;260.596.656;348.859.649,93;2.447.673;11.573.265,52;263.044.329;360.432.915,45
